"rank","full_name","stars","forks","open_issues","language","license","updated_at","pushed_at","description","html_url","topics"
"49","Findomain/Findomain","3760","395","24","Rust","GPL-3.0","2026-06-22T07:16:51Z","2026-05-06T18:40:40Z","The fastest and complete solution for domain recognition. Supports screenshoting, port scan, HTTP check, data import from other tools, subdomain monitoring, alerts via Discord, Slack and Telegram, multiple API Keys for sources and much more.","https://github.com/Findomain/Findomain","bugbounty; dns; osint; subdomains"
"50","jasonxtn/Argus","3638","447","17","Python","MIT","2026-06-24T14:48:00Z","2025-12-10T10:30:05Z","The Ultimate Information Gathering Toolkit","https://github.com/jasonxtn/Argus","cms-detection; directory-finder; dns-lookup; email-harvester; information-gathering; osint; pastebin-monitoring; recon-tools; reconnaissance; server-info; ssl-analitcs; txt-records; virustotal; web-crawler; whois-lookup"
"51","Lucksi/Mr.Holmes","3624","537","38","Python","GPL-3.0","2026-06-24T14:55:45Z","2026-02-21T11:15:55Z"," A Complete Osint Tool :mag:","https://github.com/Lucksi/Mr.Holmes","geolocation; information-gathering; kali-linux; linux; macos; open-source-intelligence; osint; osint-framework; osint-python; osint-tool; osint-tools; python; python-script; spam; termux; termux-hacking; username-checker; windows"
"52","evyatarmeged/Raccoon","3576","443","14","Python","MIT","2026-06-23T13:43:53Z","2026-04-21T21:23:15Z","A high performance offensive security tool for reconnaissance and vulnerability scanning","https://github.com/evyatarmeged/Raccoon","enumeration; fuzzing; hacking; hacking-tool; information-gathering; offensive-security; osint; pentest-tool; pentesting; raccoon; reconnaissance; scanner; security-scanner; vulnerability-assessment; vulnerability-scanner"
"53","Astrosp/Awesome-OSINT-List","3492","447","12","Shell","GPL-3.0","2026-06-24T15:30:03Z","2026-06-21T16:22:01Z","📡 Comprehensive collection of OSINT tools for cybersecurity professionals, researchers, and bug bounty hunters. Topics: information gathering, reverse search, red team, trust & safety, AI.","https://github.com/Astrosp/Awesome-OSINT-List","ai; ai-tools; awesome-list; bug-bounty; cybersecurity; information-gathering; osint; pentest; recon; red-team; reverse-search; security-tools; threat-intelligence"
"54","ibnaleem/gosearch","3447","313","3","Go","GPL-3.0","2026-06-24T15:10:05Z","2026-06-07T17:29:25Z","🔍 Search anyone's digital footprint across 300+ websites","https://github.com/ibnaleem/gosearch","cti; cybersecurity; digital-footprint; digital-footprint-lookup; golang; information-gathering; osint; osint-framework; osint-reconnaissance; osint-resources; osint-tool; pentesting; redteam; sherlock; sherlock-alternatives; social-media; username-checker; username-osint; username-scanner; username-search"
"55","edoardottt/cariddi","3437","293","11","Go","GPL-3.0","2026-06-24T09:09:04Z","2026-05-27T07:15:28Z","Take a list of domains, crawl urls and scan for endpoints, secrets, api keys, file extensions, tokens and more","https://github.com/edoardottt/cariddi","bugbounty; crawler; crawling; endpoint-discovery; endpoints; go; golang; hacktoberfest; infosec; osint; penetration-testing; pentesting; recon; reconnaissance; redteam; scraper; secret-keys; secrets-detection; security; security-tools"
"56","opsdisk/pagodo","3356","546","4","Python","GPL-3.0","2026-06-24T06:46:24Z","2025-12-01T16:24:43Z","pagodo (Passive Google Dork) - Automate Google Hacking Database scraping and searching","https://github.com/opsdisk/pagodo","bugbounty; dork; ghdb; google; google-dork; google-dorks; google-hacking-database; osint; osint-python; python; yagooglesearch"
"57","devanshbatham/ParamSpider","3105","477","37","Python","MIT","2026-06-24T04:28:02Z","2026-03-07T16:16:48Z"," Mining URLs from dark corners of Web Archives for bug hunting/fuzzing/further probing ","https://github.com/devanshbatham/ParamSpider","bugbounty; content-discovery; fuzzing; osint; parameter; parameter-finder; urls-parameters"
"58","projectdiscovery/uncover","2998","270","10","Go","MIT","2026-06-23T16:59:48Z","2026-06-03T00:25:06Z","Quickly discover exposed hosts on the internet using multiple search engines.","https://github.com/projectdiscovery/uncover","asm; attack-surface; bugbounty; cli; hacktoberfest; osint; recon; reconnaissance"
"59","0x0be/yesitsme","2848","290","25","Python","","2026-06-24T05:06:23Z","2024-08-17T18:35:46Z","Simple OSINT script to find Instagram profiles by name and e-mail/phone ","https://github.com/0x0be/yesitsme","instagram; open-source-intelligence; osint; osint-tools; python; social-media-analysis; social-media-intelligence; socmint"
"60","mikeroyal/Digital-Forensics-Guide","2799","323","6","Python","","2026-06-24T06:28:49Z","2024-01-04T22:41:58Z","Digital Forensics Guide. Learn all about Digital Forensics, Computer Forensics, Mobile device Forensics, Network Forensics, and Database Forensics.","https://github.com/mikeroyal/Digital-Forensics-Guide","alerting; cyber-security; detection-engineering; dfir; digital-forensics; digitalforensicreadiness; digitalforensics; forensic-analysis; forensics; forensics-investigations; forensics-tools; intrusion-detection; mitre-attack; network-security; offensive-security; osint; port-scanning; security; siem; threat-intelligence"
"61","ItIsMeCall911/Awesome-Telegram-OSINT","2747","263","16",,"","2026-06-23T19:15:11Z","2024-08-03T12:45:01Z","📚 A Curated List of Awesome Telegram OSINT Tools, Sites & Resources","https://github.com/ItIsMeCall911/Awesome-Telegram-OSINT","awesome; awesome-list; osint; osint-resources; telegram; telethon"
"62","bhavsec/reconspider","2713","365","30","Python","GPL-3.0","2026-06-22T23:43:07Z","2023-09-26T10:12:16Z","🔎 Most Advanced Open Source Intelligence (OSINT) Framework for scanning IP Address, Emails, Websites, Organizations.","https://github.com/bhavsec/reconspider","automated; cybersecurity; framework; hacking; information-gathering; osint; pentest; pentesting; python; recon; reconnaissance; scanner; security"
"63","cipher387/Dorks-collections-list","2685","392","2",,"","2026-06-24T14:02:41Z","2025-04-11T03:29:15Z","List of Github repositories and articles with list of dorks for different search engines","https://github.com/cipher387/Dorks-collections-list","awesome; awesome-list; cybersecurity; hacking; osint; pentest"
"64","redhuntlabs/Awesome-Asset-Discovery","2683","408","15",,"CC0-1.0","2026-06-24T15:16:35Z","2025-01-22T10:48:28Z","List of Awesome Asset Discovery Resources","https://github.com/redhuntlabs/Awesome-Asset-Discovery","asset-discovery; awesome-list; infosec; osint; recon; reconnaissance"
"65","martinvigo/email2phonenumber","2683","298","10","Python","MIT","2026-06-23T15:33:30Z","2024-07-26T21:09:58Z","A OSINT tool to obtain a target's phone number just by having his email address","https://github.com/martinvigo/email2phonenumber","authentication; hacking; osint; osinttool; password-reset; privacy"
"66","WebBreacher/WhatsMyName","2614","415","4","Python","NOASSERTION","2026-06-24T15:06:45Z","2026-06-24T15:31:17Z","Community-maintained dataset of 700+ websites for finding accounts by username — powers OSINT and digital footprint tools.","https://github.com/WebBreacher/WhatsMyName","cybersecurity; dataset; json; osint; osint-tool; recon; user-enumeration; username; users"
"67","thewhiteh4t/pwnedOrNot","2582","350","6","Python","MIT","2026-06-22T13:16:34Z","2026-03-28T06:34:07Z","OSINT Tool for Finding Passwords of Compromised Email Addresses","https://github.com/thewhiteh4t/pwnedOrNot","api; hacked-emails; haveibeenpwned; osint; passwords; pwnedornot"
"68","thewhiteh4t/nexfil","2568","252","8","Python","MIT","2026-06-24T09:42:28Z","2023-09-30T04:43:12Z","OSINT tool for finding profiles by username","https://github.com/thewhiteh4t/nexfil","cybersecurity; fast; open-source-intelligence; osint; python; username"
"69","osintbrazuca/osint-brazuca","2561","344","1",,"MIT","2026-06-24T04:39:57Z","2026-06-10T02:01:03Z","Repositório criado com intuito de reunir informações, fontes(websites/portais) e tricks de OSINT dentro do contexto Brasil.","https://github.com/osintbrazuca/osint-brazuca","brasil; hacking; osint; threat-hunting; threat-intelligence; threatintel"
"70","Lifka/hacking-resources","2557","259","7",,"","2026-06-23T15:14:47Z","2024-06-25T18:58:59Z","Hacking resources and cheat sheets. References, tools, scripts, tutorials, and other resources that help offensive and defensive security professionals.","https://github.com/Lifka/hacking-resources","ethicalhacking; gathering; hacker; hacking; malware; network-monitoring; osint; powershell; social-engineering; tools; vulnerability"
"71","danieldurnea/FBI-tools","2541","368","10",,"","2026-06-23T20:09:07Z","2025-03-12T23:04:21Z","🕵️ OSINT Tools for gathering information and actions forensics 🕵️ ","https://github.com/danieldurnea/FBI-tools","awesome; awesome-list; bug-bounty; cybersecurity; forensics; hacking; incident-response; infosec; osint; penetration-testing; pentesting; reconnaissance; security; security-automation; security-tools"
"72","kpcyrd/sn0int","2463","222","54","Rust","GPL-3.0","2026-06-24T09:08:46Z","2026-05-15T15:41:27Z","Semi-automatic OSINT framework and package manager","https://github.com/kpcyrd/sn0int","bug-bounty; certificate-transparency; intelligence; investigation; location; lua; osint; osint-framework; pentesting; recon; reconnaissance; rust; security; security-audit; security-scanner"
"73","TermuxHackz/X-osint","2401","296","2","Python","GPL-3.0","2026-06-23T23:37:53Z","2026-06-16T14:27:44Z","This is an Open source intelligent framework ie an osint tool which gathers valid information about a phone number, user's email address, perform VIN Osint, and reverse, perform subdomain enumeration, able to find email from a name, and so much more. Best osint tool for Termux and linux","https://github.com/TermuxHackz/X-osint","dns-lookup; dns-reverse; email-osint; google-dork; google-hacking; info-gathering; information-gathering; ip-osint; movie-actor-osint; movie-database-osint; osint; phone-info; phone-location; phone-number; python3; shell; shell-script; smtp; smtp-analysis; x-osint"
"74","kaifcodec/user-scanner","2390","259","7","Python","MIT","2026-06-24T15:37:08Z","2026-06-24T07:24:54Z","🕵️‍♂️ (2-in-1) Email & Username OSINT suite for deep data extraction. Analyzes 285+ scan vectors (100+ email / 185+ username) for security research, investigations, and digital footprinting.","https://github.com/kaifcodec/user-scanner","cybersecurity; cybersecurity-tools; email-osint; enumeration; osint; osint-email; osint-tool; osint-tools; osint-username; python; threat-intelligence; username-osint"
"75","alephdata/aleph","2384","348","371","JavaScript","MIT","2026-06-22T16:28:17Z","2026-02-20T22:43:51Z","Search and browse documents and data; find the people and companies you look for.","https://github.com/alephdata/aleph","data-search; graph-database; investigative-journalism; journalism; osint; python"
"76","cipher387/API-s-for-OSINT","2345","305","19",,"CC0-1.0","2026-06-24T05:00:58Z","2025-05-16T23:40:15Z","List of API's for gathering information about phone numbers, addresses, domains etc","https://github.com/cipher387/API-s-for-OSINT","api; api-rest; awesome; awesome-list; cybersecurity; information-gathering; osint"
"77","Alfredredbird/tookie-osint","2317","193","1","Python","MIT","2026-06-24T12:15:08Z","2026-05-29T02:58:57Z","Tookie is a advanced OSINT information gathering tool that finds social media accounts based on inputs.","https://github.com/Alfredredbird/tookie-osint","cyber-security; cybersecurity; hacking-tool; hacking-tools; information-gathering; osint; osint-framework; osint-kali; osint-python; osint-reconnaissance; osint-resources; osint-tool; osint-toolkit; osint-tools; osinttool; parrot-os; python; python3; script"
"78","hisxo/gitGraber","2312","357","11","Python","GPL-3.0","2026-06-24T05:45:43Z","2026-03-26T09:32:20Z","gitGraber: monitor GitHub to search and find sensitive data in real time for different online services such as: Google, Amazon, Paypal, Github, Mailgun, Facebook, Twitter, Heroku, Stripe...","https://github.com/hisxo/gitGraber","bugbounty; leaks; monitor; osint; realtime; redteam; security-automation; security-tools"
"79","Owez/yark","2174","69","21","Python","MIT","2026-06-22T16:25:27Z","2026-06-07T18:37:19Z","OSINT for YouTube made simple.","https://github.com/Owez/yark","archive; osint; youtube; youtube-dl"
"80","initstring/cloud_enum","2103","298","0","Python","MIT","2026-06-23T06:42:01Z","2026-05-21T07:07:06Z","Multi-cloud OSINT tool. Enumerate public resources in AWS, Azure, and Google Cloud.","https://github.com/initstring/cloud_enum","osint; penetration-testing"
"81","samugit83/redamon","2030","427","19","Python","MIT","2026-06-24T05:48:40Z","2026-06-23T06:47:23Z","An AI-powered agentic red team framework that automates offensive security operations, from reconnaissance to exploitation to post-exploitation, with zero human intervention.","https://github.com/samugit83/redamon","agentic-ai; ai; cybersecurity; ethical-hacking; ethical-hacking-tools; exploitation; metasploit; osint; penetration-testing; red-team"
"82","Jieyab89/OSINT-Cheat-sheet","2029","306","0","Python","","2026-06-24T13:38:05Z","2026-06-23T10:49:13Z","OSINT cheat sheet, list OSINT tools, wiki, dataset, article, book , red team OSINT for hackers and OSINT tips and OSINT branch. This repository will grow every time will research, there is a research, science and technology, tutorial. Please use it wisely.","https://github.com/Jieyab89/OSINT-Cheat-sheet","cheatsheet; cybersecurity; datasets; education; hacking; imint; information-gathering; information-security; journalism; masint; osint; osint-tool; osintwiki; reconnaissance; red-team; science; scraping; socmint; tools; wiki"
"83","AzizKpln/Moriarty-Project","2000","293","26","Python","MIT","2026-06-22T09:34:05Z","2024-07-13T06:27:10Z","This tool gives information about the phone number that you entered.","https://github.com/AzizKpln/Moriarty-Project","advanced; advanced-osint-tool; amazon-aws; information; information-gathering; kali-osint; moriarty; moriarty-project; osint; osint-kali; osint-python; osint-tool; osinttool; phone; phone-information; phone-number; phone-number-information; phoneinfo; python3-moriarty; sms"
"84","vaguileradiaz/tinfoleak","1977","266","28","Python","CC-BY-SA-4.0","2026-06-16T01:00:00Z","2019-02-06T22:22:17Z","The most complete open-source tool for Twitter intelligence analysis","https://github.com/vaguileradiaz/tinfoleak","intelligence; osint; socialmedia; socmint; twitter"
"85","OffcierCia/On-Chain-Investigations-Tools-List","1905","244","3",,"Unlicense","2026-06-21T05:41:46Z","2026-06-03T14:21:13Z","Here we discuss how one can investigate crypto hacks and security incidents, and collect all the possible tools and manuals! PRs are welcome! If any tool is missing - please open PR!","https://github.com/OffcierCia/On-Chain-Investigations-Tools-List","aml; awesome; awesome-list; awesome-readme; awsome-lists; bitcoin; blockchain; due-diligence; ethereum; investigation; on-chain-analysis; on-chain-investigation; osint; tether; visualization"
"86","nitefood/asn","1901","196","3","Shell","MIT","2026-06-24T09:08:57Z","2026-06-22T11:05:19Z","ASN / RPKI validity / BGP stats / IPv4v6 / Prefix / URL / ASPath / Organization / IP reputation / IP geolocation / IP fingerprinting / Network recon / lookup API server / Web traceroute server","https://github.com/nitefood/asn","api; as-path; asn; asn-lookup; autonomous-systems; bash; bgp; fingerprinting; geolocation; incident-response; ip-lookup; ip-reputation; mtr; osint; recon; rpki; shodan; team-cymru; traceroute; whois"
"87","megadose/ignorant","1876","273","42","Python","GPL-3.0","2026-06-24T15:11:20Z","2024-07-27T06:11:44Z","ignorant allows you to check if a phone number is used on different sites like snapchat, instagram.","https://github.com/megadose/ignorant","amazon; instagram; osint; phone-number; python; snapchat; trio"
"88","0xInfection/TIDoS-Framework","1864","392","16","Python","GPL-3.0","2026-06-21T05:41:57Z","2023-04-19T19:02:06Z","The Offensive Manual Web Application Penetration Testing Framework.","https://github.com/0xInfection/TIDoS-Framework","enumeration; exploitation; footprinting; intelligence-gathering; osint; reconnaissance; scanning-enumeration; tidos-framework; vulnerability-analysis; vulnerability-detection; web-application-security; web-fuzzer; web-penetration-testing"
"89","osintambition/Social-Media-OSINT-Tools-Collection","1849","218","15",,"GPL-3.0","2026-06-24T15:30:21Z","2026-01-30T14:43:22Z","A collection of most useful osint tools for SOCINT.","https://github.com/osintambition/Social-Media-OSINT-Tools-Collection","humint; osint; osint-resources; osint-toolkit; osint-tools; osinttool; social; social-media; socint; socmint"
"90","The-Osint-Toolbox/Telegram-OSINT","1848","163","1",,"","2026-06-24T09:09:30Z","2026-05-17T09:49:09Z","In-depth repository of Telegram OSINT resources covering, tools, techniques & tradecraft.","https://github.com/The-Osint-Toolbox/Telegram-OSINT","blogs; bot; browser-extension; channel-lookup; cmd-line-tools; custom-search-engine; group-lookup; osint; telegram; telegram-bot"
"91","ninoseki/mitaka","1810","190","1","TypeScript","MIT","2026-06-24T15:18:56Z","2026-06-16T00:31:49Z","A browser extension for OSINT search","https://github.com/ninoseki/mitaka","chrome-extension; osint; security; threat-intelligence"
"92","1N3/BlackWidow","1809","393","3","Python","NOASSERTION","2026-06-19T11:41:09Z","2026-04-17T12:35:56Z","A Python based web application scanner to gather OSINT and fuzz for OWASP vulnerabilities on a target website.","https://github.com/1N3/BlackWidow","active; application; automated; bugbounty; csrf; fuzzer; lfi; osint; owasp; passive; python; rce; rfi; scan; scanner; spider; sqli; vulnerability; web; xss"
"93","x0rz/phishing_catcher","1807","363","44","Python","GPL-3.0","2026-06-21T05:42:09Z","2024-08-13T22:18:01Z","Phishing catcher using Certstream","https://github.com/x0rz/phishing_catcher","certificate-transparency; osint; phishing; threat-intelligence; threatintel"
"94","iojw/socialscan","1783","213","14","Python","MPL-2.0","2026-06-23T18:10:49Z","2026-04-27T21:56:17Z","Python library for accurately querying username and email usage on online platforms","https://github.com/iojw/socialscan","cli; email; email-checker; osint; social-media; username; username-checker"
"95","Yvesssn/DetectDee","1771","232","15","Go","Apache-2.0","2026-06-23T11:30:43Z","2023-08-26T09:42:08Z","DetectDee: Hunt down social media accounts by username, email or phone across social networks.","https://github.com/Yvesssn/DetectDee","collision-detection; credi; golang; linux; macos; osint; redteam; soical-enginering-attack; windows"
"96","fsociety-team/fsociety","1760","210","20","Python","MIT","2026-06-24T04:14:15Z","2026-05-25T19:04:40Z","A Modular Penetration Testing Framework","https://github.com/fsociety-team/fsociety","cli; docker; fsociety; osint; penetration-testing; python; python3"
"97","initstring/linkedin2username","1746","218","1","Python","MIT","2026-06-22T11:22:18Z","2026-05-20T23:16:42Z","OSINT Tool: Generate username lists for companies on LinkedIn","https://github.com/initstring/linkedin2username","hacking; osint; penetration-testing; pentesting"
"98","megadose/OnionSearch","1713","221","17","Python","GPL-3.0","2026-06-24T09:08:53Z","2024-08-08T11:31:59Z","OnionSearch is a script that scrapes urls on different .onion search engines. ","https://github.com/megadose/OnionSearch","ahmia; deeplink; information-gathering; onion; open-source-intelligence; osint; osint-tools; phobos; pypi; python; scrapes-urls; search-engines"
"99","utkusen/urlhunter","1683","115","0","Go","MIT","2026-06-21T05:42:26Z","2025-01-23T15:48:12Z","a recon tool that allows searching on URLs that are exposed via shortener services","https://github.com/utkusen/urlhunter","bugbounty; intelligence; osint; recon; security"
"100","unicodeveloper/globalthreatmap","1679","278","23","TypeScript","","2026-06-24T09:10:11Z","2026-04-20T11:14:41Z","Global threat map. Learn wars, conflicts, military bases and history of nations. ","https://github.com/unicodeveloper/globalthreatmap","ai; ai-agents; ai-assistant; intelligence; nato; osint; osint-tool; real-time; usa-military; valyu-ai"
